Text	Complexity Score
Smoke Break was a song written by the singer-songwriter who received an Academy Award nomination for what 2011 song?	0.23
In what year was the microbiologist who first developed the MMR vaccine born?	0.19
Who has more novel to be remembered for, Henry Green or Richard Adams?	0.16
Who is likely to have represented and advanced Armenian music more, Art Laboe or Konstantin Orbelyan?	0.21
The city of Telmessos was called Telebehi by what Iron Age people?	0.12
Coatbridge is a town in a country that has how many Islands?	0.19
"When was the Canadian band formed who's single/EP is ""Looking Glass""?"	0.21
What is the name of a kit violin and an opera?	0.12
Who is younger Paul Scholes or Legimin Raharjo?	0.12
Which composer is considered the founder of the Neapolitan school of opera: Gaetano Donizetti or Alessandro Scarlatti?	0.19
Are Shipping News and Gene both rock bands?	0.12
Were Rowland Brown and Threes Anna involved in film?	0.12
Which documentary premiered later, Game Face or The Trials of Henry Kissinger?	0.14
5 fold diffraction pattern symmetries were discovered in 1982 by dan shechtman when he discovered this phase which opened new field of study in quasiperiodic crystals?	0.42
What Columbia University professor proved the Earle-Hamilton fixed-point theorem with Clifford Earle in 1968?	0.23
Which film was created first, Fig Trees or Pond Hockey?	0.12
"Which cast member played Kyle Reese and also played Pavel Chekov in three ""Star Trek"" films?"	0.26
Are Big Hero 6 and Summer Magic both films?	0.09
The Gospel According to the Other Mary, which premiered in 2012 at the Walt Disney Concert Hall in Los Angeles was composed by whom?	0.23
The 2012 United States Senate election in Nevada ended in a narrow win for which incumbent Republican?	0.19
The US state in which Elijah Cutler Behunin Cabin was built is bordered by which state to the east?	0.16
What are the approvals to be taken to bury the bodies of several armed movemnts in ireland dedicated to Irish republicanism?	0.28
In what year did Matt Lucas star in Alice Through the Looking Glass?	0.12
In what hotel venue did Irina Antonenko compete for Miss Universe in 2010?	0.14
Which Russian actress won a prize for her role as Chief Detective Maria Shvetsova?	0.16
What is a tree that could have been featured in the Indian film Poovarasam Peepee?	0.19
Throughout her illustrious career, German chemist Lotte Loewe researched a variety of topics, from ascorbic acid reaction kinetics and uric acid to which organic pigments commonly made by plants, algae, bacteria and fungi?	0.51
Who sings lead vocals for the band who released the album, Of the Blue Color of the Sky?	0.26
What is the capital of the Indian state that includes the village of Bhando?	0.19
Which genus has more species Tetradium or Schlumbergera?	0.14
Wawa Welcome America is a celebration that takes place at what East Coast chain of stores?	0.16
When is the former American Football player and actor who starred in Avalanche Alley born?	0.21
Which canal is located in Nebraska, the Loup Canal or the Chenango Canal?	0.09
Manmohini Zutshi Sahgal was a member of a family that has traditionally led what republic?	0.16
"The film ""Intermezzo"" was produced by a man that won an Academy Award for Best Picture for what 1939 film?"	0.21
Union of the Democratic Forces opposed the general who created the entity known as the what republic?	0.21
Wu-Tang Forever serves as the follow up to the Wu-Tang Clan album released on what date?	0.16
Junction Boulevard Line extends into an airport that covers how many acres?	0.19
Who has directed more film, Alan James or Lucile Hadžihalilović?	0.14
The Independent School League includes Washington, D.C. and part of what states?	0.16
Guilermo Del Toro directed Doug Jones in a 1997 horror film based on whose short story?	0.21
What year did the Sampdoria home venue stadium open?	0.12
The Volkswagen New Compact Coupé uses how many distinct types of power to run?	0.19
Do both Scott Treleaven and Raoul Peck make films?	0.12
Yang Yun-ho, a South Korean film director, released a film in 2004, which was nominated for what in the following year?	0.3
What crime television show does actress Lauren Michael Holly from such films as Dumb and Dumber and Any Given Sunday star in?	0.28
What is the stage name of the lead member of the group that released Tragic Serenades?	0.21
What position was played by the man who, along with Emmanuel Petit, was purchased by Joan Gaspart using funds taken from the sale of Luis Figo?	0.28
"Which city 10 miles south of downtown Minneapolis is home to a musician who wrote ""Stand under None""?"	0.28
Which band American alternative rock band originally from Houston, Texas, did Wideawake shared the stage with?	0.26
What TV show set in the fictional country town of Yoorana stars Hannah Monson?	0.19
Who is the the actor who stars in the 2005 film Slingshot that also is a member of the band Ringside?	0.23
What is the name of this high-speed banked oval that this motor racing circuit in Melbourne, Victoria, Australia, had where 2001 Calder Park V8 Supercar round took place?	0.37
When Violet Wegner became HRH Princess Pierre of Montenegro, who was her sister-in-law?	0.19
How many National Film Awards did the main actor in Awaargi win?	0.16
Which American artist's studios, known for New Mexico landscapes, is part of the National Trust for Historic Preservation?	0.19
What did the comedian who made Intimate Moments for a Sensual Evening win an emmy for?	0.23
Discover Cove is owned and operated by a family entertainment, amusement park, and attraction company that operates how many theme parks?	0.33
Attack!! is an album that included the keyboardist from which group from 1994-99?	0.16
What event are Kjellfred Weum and 110 metres hurdles both names synonymous with?	0.12
Lynn D. Stewart opened the first Hooters in what Florida county?	0.14
Which of Patrick McDonnell's works features Earl, a dog?	0.14
When was the magazine which has Lisa Pin-Up ranked number 54, launched as a mass-market print publication?	0.28
Are Stanka Gjurić and Stanley Kwan of the same nationality?	0.12
Was American Bellydancer or Dalai Lama Renaissance released first?	0.07
What was the population of the Kansas city affected by the Tornado outbreak of June 13, 1998?	0.14
Are Kangchenjunga and Trivor both mountains?	0.07
What type of aircraft did the Italian engineer Enrico Forlanini work on that was an aerostat?	0.16
How many miles away from Dallas is the village that the species depicted in the Pictish stone at Golspie originated from?	0.33
Who have more species of plants, Manettia or Guzmania?	0.14
Which news host and former baseball player is currently on virtual channel 5 in Atlanta?	0.23
Who has more letters in their middle name out of Margaret Laurence and Paul Heyse?	0.21
In which suburb of Brisbane is the Stadium that held the first game of the 1978–79 Gillette Cup?	0.19
Who played William Alexanders team in the rose bowl in 1929?	0.14
Toon Disney Scandinavia is owned by a company founded in what year?	0.12
What summit was to be attended by the representatives of 3% of the world's area, 21% of the world's population and 3.8% of the global economy, as of 2015?	0.33
Which show on Tiny TV aired on August 20, 2001?	0.12
